RDF Type	ID	Parent	Label	editor preferred term	Alternate name	Domain	Range	Definition	Example	Curation Status	Editors Note	term editor	Reference
TYPE	ID	SP %	AL rdfs:label@en	AL iao:0000111@en	AL iao:0000118@en	DOMAIN	RANGE	AL iao:0000115@en	AL iao:0000112@en	AT iao:0000114^^xsd:anyuri	AL iao:0000116@en	AL iao:0000117@en	AL iao:0000119@en
owl:AnnotationProperty	org:1000001		vivo 1 ontology reference	see vivo 1	in vivo 1		xsd:anyuri	The term in the original VIVO ontology that is most like the annotated term. 	"The organization class in the original VIVO ontology is most like the organization class in the VIVO Organization Ontology.  They have different superclasses, so they are not the same."	obo:0000120		Michael Conlon https://orcid.org/0000-0002-1304-8447	Michael Conlon https://orcid.org/0000-0002-1304-8447
